Data,Count
2022年9月,1
2022年9月,637
2023年4月,115
2024年4月,91
2024年3月,1752
2022年10月,946
2023年12月,65
2024年2月,3401
2024年1月,6498
2023年11月,50
2023年10月,65
2023年9月,64
2023年8月,163
2023年7月,120
2023年6月,62
2023年5月,67
2023年3月,217
2023年2月,270
2023年1月,4360
2022年12月,43
2022年11月,321
