nickname,content,ip_location,create_date_time
greenbeanmotion,This vid comes back every time to get revenge,,2023-06-22 11:02:40
tailisu,how does this help me fend against gunfire ,,2023-06-23 01:39:46
greenbeanmotion,This vid comes back every time to get revenge,,2023-06-22 11:02:40
blcknigr,Who’s bro opps ,,2023-06-23 00:51:13
elpicantenegro1,blud really put the rice in the drinking pot ,,2023-06-28 06:54:24
redshirtkhakiraccoon,master roshi and goku/krillin,,2023-06-22 02:39:59
hehemaster23,What is he training for bro ,,2023-06-23 03:33:46
forstaken69,Tien training for the saiyans,,2023-06-20 07:42:50
rela18372,What prophecy is bro fulfilling,,2023-06-23 01:45:00
chawskrzvve,,,2023-06-21 23:06:02
mydeathmachine,"Me training to fight a giant metallic ring, wrapped in padding, wrapped in rope.",,2023-06-26 16:52:14
llikememes34,Who’s bluds opps,,2023-06-20 06:53:23
ane__eq,wait for them to meet someone that knows mma,,2023-06-26 23:58:27
jxnlw_,Every summer☠️,,2023-06-27 00:20:50
jaydownworld999,blub was training cuz Goku was coming in 6 days ,,2023-06-20 00:39:57
no1.2worry_abt,Master roshi and krillin,,2023-06-23 01:24:15
ss7semi,When will bro master this ,,2023-06-25 03:37:39
indominusrex_hybrid,now this is the stuff I like to see on tiktok,,2023-06-27 04:44:30
1989no_name,i watched bro go from daily servant to baby tarzan kung fu style,,2023-06-22 02:06:26
ace.nyc.bk,bro have opps,,2023-06-20 00:31:55
levy_lover,every summer ,,2023-06-26 10:55:49
joshualeonard660,I forgot all about them,,2023-06-26 21:30:03
thatngaparis,Every damn summer bro ‍♂️,,2023-06-25 02:32:12
aaron_willheckyourphone,Mr Roshi and krillin,,2023-06-20 06:58:16
black_goku_._,master roshi ,,2023-06-23 07:54:41
chaiboi_,bros opps with a biblically accurate angel,,2023-06-23 03:00:36
doxolove,Me when my opponent is a giant floating evil wheel and i get rewarded with special chicken rock,,2023-06-27 02:16:45
woxizmlbb,What is blud training for,,2023-06-21 08:38:00
kophyo7834,fanrong bro ?,,2023-06-27 09:29:41
dafeetinator,I know gramps ain’t keepin up ,,2023-06-21 04:15:14
zamzamwater90,"Kung fu master is on tiktok, interesting ",,2023-06-22 02:36:13
aaronyeager500,I see it every year.....,,2023-06-24 20:03:28
thepeanutgalleries,Who is bro’s ops?,,2023-06-26 19:11:35
yohomomma,Next lesson...choking chicken technique. It's almost unbeatable.,,2023-06-21 04:16:08
nitus_rothschild,next time your master will teach kame ha meha,,2023-06-20 04:22:54
gray_sun124,Master roshi?,,2023-06-23 02:36:11
yondib13,"Style 50%
Damage 500%",,2023-06-28 04:09:41
3lpana.eduardo,Master raiden is that you ?,,2023-06-20 06:38:27
diverge_navvarro,Everybody was kung fu fighting ️️️,,2023-06-22 03:35:26
.coco.tt,My favorite! Moist sour duck wrapped in moldy leafs!,,2023-06-21 04:54:46
sol.moritz,ah yes the classic kung fu master and student video @Daniel,,2023-06-23 18:35:09
metal_knight_7274,BING CHILLING,,2023-06-27 13:46:38
ightbro8,I see this video every month @Joker,,2023-06-20 05:35:35
aruelseven,Master Roshi . Now time to learn KameKameHaaaaa !!!!!!!,,2023-06-20 01:06:40
dizzaava,Song?,,2023-06-22 07:37:15
broddy00,@torrp this u?,,2023-06-22 04:42:10
snakethoot,They're back,,2023-06-24 20:34:54
bx9ljd,Grandpa Roshi is Kakarot's trainer ,,2023-06-27 12:15:33
idk57575,Who hurt bro,,2023-06-27 04:40:40
bx9ljd,Grandpa Roshi is Kakarot's trainer ,,2023-06-27 12:15:33
idk57575,Who hurt bro,,2023-06-27 04:40:40
justin2bald,Why do I keep seeing these his video every few months,,2023-06-21 05:04:11
gabes_braindead,Krillian and master roshi,,2023-06-23 02:03:56
jmiller47511,Why did he look so sad and disappointed when he dumped the rice back Into the bowl,,2023-06-20 07:46:00
piepop977,"send this to my friends every time I see then on my fyp because of my famous ufc4 character, Sensei Zchang",,2023-06-20 08:25:45
enzo.limc,oh ok,,2023-06-20 07:48:24
not_2552,to,,2023-06-20 06:57:38
celerylily0704,"They’re not only show the kungfu, but also the culture",,2023-06-27 06:24:20
iamnotabelincoln,The old master is very skilled. 好！,,2023-06-23 15:03:08
its_bgf,blud thinks he's master roshi,,2023-06-23 02:40:00
virel666,So this is kungfu show or cooking show?,,2023-06-20 17:20:17
n.a.h010,Gramps still got it,,2023-06-20 02:44:23
manikeepit100,He’s at camp,,2023-06-20 04:58:41
mortalkombat_.xl,miyagi is better,,2023-06-19 18:48:41
lordugly556,Why did he not accept the rice the first time,,2023-06-27 16:37:47
eli.art20,Master roshi,,2023-06-20 05:06:36
sellasella765,waww good im love it,,2023-06-20 08:30:24
vincent_chamberlain,Master roshi and krillen ,,2023-06-20 06:58:24
mafia_knight,Japan lore,,2023-06-20 07:33:20
sultann__1007,Bros opps are cobra kai,,2023-06-20 07:43:46
sasdx0,[evil],,2023-06-21 00:10:14
user1933686605,@T17 the fighting and the culture can bring tears to a grown man’s eyes,,2023-06-27 12:45:10
flexinfreshman,So real,,2023-06-23 01:07:20
lansyaw,teach me sifooooo,,2023-06-20 08:36:12
sl0w_zeto,"YO, ITS MY GANG TIEN️",,2023-06-20 02:58:16
user5341687028301,,,2023-06-27 12:40:32
the_realgoosegod,Bro learn all that from watching the old dude do a finger flick,,2023-06-20 05:28:37
r3dz3w0r5,What’s the first song,,2023-06-20 07:48:45
angelo.ryu,Master roshi and tien,,2023-06-23 00:23:30
bayronlara6,Bruce funny bone in serious,,2023-06-19 21:46:32
caydenjay13,Fi sing hung gooo geo wlhd dhafoo,,2023-06-20 02:58:33
khufra_tik.tok25,random,,2023-06-27 14:33:45
rui_cat_1908,Training for Mortal Kombat,,2023-06-19 22:50:55
